Date,AAPL,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AMAT,APTV,ADM,ARNC,AJG,AIZ,ATO,T,ADSK
2015-09-22,6.884236034876974,6.047890595052182,3.087565598927999,4.267302999202848,14.518525569682113,3.3995220833933306,1.947888054867075,2.585520354089748,0.2014313189928124,6.67038411890812,0.8268232549434417,16.543158891266717,2.766745273200935,2.0592291561441542,4.949195163696688,2.38145399462829,4.894005773813909,4.547994976369783,3.134798869912134,13.388869332607918,3.551383051984256,1.6748397343008523,13.253738736992963,18.187966260550052,2.3734184505145626,4.168546099291855,48.682805970641525,45.75188089091514,1.8740235800360776,35.996532624527724,1.595927939695413,1.5871829591330469,1.585169580477121,2.0985325515838062,2.434946953563163,3.7529746055402917,1.3958774957176288,7.305907941348615,4.0500809645251294,1.4475847408428133,9.001580438760714,2.261519282092646,4.209914032161726,3.264277568434596,2.338494711160138,6.873640658628729,4.759891784721557,3.0515833437667927,5.203594419918345,1.7239861836981039,1.32558699022137,,2.0419235627609065,0.7149860533584611,2.4527633672233993,3.307521009153037,1.4913311082976561,1.052466822483931,3.0272781261568524
2015-09-23,6.846822292232565,6.144289995436883,3.1685750241418957,4.411854203634144,14.383128864478778,3.3873682599936283,1.9841541961989337,2.6519432953073063,0.19539934481671103,6.4391256029890975,0.8665029886725985,16.80255675577606,2.800572474770245,2.1008462378894555,5.054011761660506,2.3573344059365846,4.672525974572045,4.492665243338369,3.114430396543706,13.760984255627028,3.563067839570084,1.6681877155275475,13.53224366212295,18.178049891368953,2.3830775572917906,4.202768525250542,46.91075263846588,44.20020138097374,1.7736707762713586,34.98848272973268,1.5632388874413654,1.57661578852693,1.5497661569549428,2.1071422463440923,2.5029412020694393,3.826289303033457,1.362411081429656,7.452624220257236,4.065329793225068,1.4865226932388813,9.118660410587461,2.283285093721116,4.285966388267183,3.2202880558157148,2.339671641455303,6.710926201369318,4.876956710020328,3.0278640268301147,5.155221024704859,1.7283923165763122,1.3290490419590568,,2.0863091785975936,0.6909811251070246,2.490133405769842,3.1690296149712776,1.4557506848692245,1.0504766741522136,3.064309232673284
2015-09-24,6.78346256557309,6.223039123467455,3.2505522173184853,4.574153201864174,14.158971027760842,3.377072659236312,2.000560901220349,2.6785474642726674,0.18563952676707277,6.193363668562475,0.9054196361434512,17.027491430236633,2.825948168464439,2.1510455413365834,5.180806756101298,2.3657966178447403,4.4357655884787,4.454783361989663,3.099955216552797,14.217217166337491,3.56477466185881,1.6677642515864721,13.742557673607294,18.151631188470393,2.38664412292481,4.231315645327815,44.948618141752654,42.49855502495382,1.6753622089189042,33.97765308482225,1.5339249442078822,1.5729561103669958,1.516482875186666,2.13038507434034,2.5723601409824237,3.9174974140004646,1.3223938232345431,7.57230468726922,4.0899289669628764,1.5218300758169658,9.314819810782378,2.2823992728438154,4.342037048951033,3.1872603753952946,2.344228373402709,6.517507796800494,4.991610577578339,2.9994713799805077,5.0511152205974374,1.739504532028929,1.325303131298871,,2.1299752259772493,0.6719995249863296,2.529117546689276,3.039200032271359,1.4142794376231511,1.054718360136526,3.0968463216360793
2015-09-25,6.691568680991758,6.213386939495256,3.355536263523195,4.741953216843714,13.899326711125184,3.3874511650323362,2.042849930953209,2.6920314300429222,0.17372383760270219,6.057811700512503,0.9424477686377032,17.163752845791475,2.840578639230004,2.1960086803776133,5.359846894157571,2.3633646461274096,4.188546728946038,4.429636053331221,3.1095243882150343,14.931402743257422,3.5603908564717344,1.675118884388773,14.30916932133589,18.01188485229112,2.387575768608709,4.24469038884765,42.93882567555228,40.69112531507046,1.5766227493555667,32.86361745805485,1.5135213925312034,1.5468804287126046,1.4913075728487772,2.1398463168852455,2.617799869774607,3.986438915371518,1.3137389605615062,7.630566424244373,4.142821509128402,1.5332210472273962,9.673047444544347,2.2743756764251017,4.4377373860273375,3.1222369705973576,2.359408016100718,6.350437326459299,5.0696569909264655,2.931566842584785,4.973381166368448,1.7507647723596746,1.3099289884579028,,2.1457066316606612,0.6553743700906243,2.554933612192631,2.973846716592057,1.3967537019656833,1.0488096427220288,3.1300548090001623
2015-09-28,6.617650247803998,6.224005093730477,3.516813894955405,5.022496779322519,13.577322402293404,3.4059631115901463,2.050948690158062,2.6926700828622137,0.15381770706146702,5.882741614103171,0.9787132535979979,17.41589346214395,2.872798960953684,2.2661559265893114,5.610245581097404,2.4103772986301095,3.913343748482223,4.454682168274076,3.1645003488113645,15.731648818481236,3.57414485051032,1.7412846335797523,15.955734229494222,17.941136435073215,2.3902970290333503,4.281439416198337,41.039475873501836,38.91574204154478,1.4572578051719844,31.58986741780606,1.5049978883930935,1.545705393155179,1.482790886659098,2.1882146774429185,2.716843486672228,4.095184891282081,1.299401687609631,7.805248009972424,4.300754167867436,1.574240593533194,10.241531018303322,2.303747493568753,4.6489194996390735,3.075088092991974,2.4077176934859015,6.400467697864895,5.184232447860165,2.885307902965544,4.905861028339287,1.7728977444932934,1.2919744666977577,,2.199319771571909,0.6303022322304856,2.6014757002918265,2.8779644947025345,1.395638595910674,1.046511881750088,3.178222689378019
2015-09-29,6.599366379446587,6.1699679421195475,3.6429872691155327,5.2632513286012275,13.235291859011626,3.41457167822868,2.0418592996868234,2.696478117339003,0.13403347250373676,5.746898559296442,1.0263670090606742,17.66341227567147,2.892287713962609,2.3207033014927534,5.819105613514834,2.467934637934851,3.6662076150752494,4.468143536936421,3.216941642472486,16.383089200496105,3.584985461994499,1.8502101270190965,17.548021199627975,17.799733105184742,2.394931064197861,4.305393464174491,38.946590019208124,36.99174516672894,1.366310250479438,30.193879332615268,1.4980700484477922,1.5561628234379827,1.4791224685049273,2.2438506299925267,2.8074302693947693,4.202675499718232,1.2942432730045594,7.910525554476517,4.4767867657241,1.6139961635082252,10.714238716361765,2.3392715740535905,4.857215597601369,3.0297700869308586,2.4917166954521788,6.422173846985424,5.288410150593826,2.888252550697457,4.83545212861582,1.780960787800687,1.2753972018939652,,2.2585689872254275,0.6064622800925642,2.654742776436042,2.7745320519584364,1.38304319331549,1.039407099573651,3.244958044700243
2015-09-30,6.559501419319687,6.095526663934606,3.727478298163093,5.4207403021846385,12.878095512906677,3.4163036943752676,2.0391791908998393,2.6998408563686627,0.13153040399519325,5.95213830446472,1.0549536097118617,17.761312505580964,2.9028520701618628,2.3488846433566413,5.964067572189855,2.487203286962678,3.4635600378213174,4.442468936777987,3.2879425804641893,16.72364230172835,3.562973187922293,1.8938315793246199,18.151818463478183,17.435837756667343,2.3825103019678773,4.317761621920474,36.7604387153909,34.898130885389456,1.3388209987398927,28.667187307221717,1.5150590598396263,1.5844877534009503,1.4873211804399418,2.271047594204399,2.8584542264957844,4.274904151963438,1.3311365094458556,7.946716045257831,4.630108938816717,1.6217729278103619,11.01467621359767,2.343687784108318,4.956105565147039,2.948029558338276,2.5390078303761707,6.393696365979436,5.3733946255844405,2.899651815256053,4.687565219131941,1.7792347351987818,1.2538689165487322,,2.295785871626877,0.5786169951864308,2.6883967246580864,2.733555640677181,1.4324704569971163,1.0122857030664858,3.31450365688829
2015-10-01,6.577012946147045,6.084259294129022,3.7999269804164877,5.55141334627885,12.44573093031621,3.4111154752235295,2.0252009926756687,2.7174515052923724,0.13047660893901053,6.107593169328623,1.0822488618012387,17.956066988483812,2.9200982637672612,2.4003338750816425,6.031411980641253,2.4848035935069532,3.1726219129072857,4.419492681855215,3.3590065117178396,17.0129129048636,3.57110144191881,1.8920120145698234,18.409197635933626,17.15619943541654,2.379057230308838,4.340728710074358,33.90546644050204,32.15815346391997,1.2864790560215675,26.674740549095716,1.5183417210630734,1.586726046935079,1.4879821679722312,2.3004492314908864,2.9077332115203407,4.3378465686452055,1.3717576151792594,7.989207867156559,4.794681831994299,1.6419904123119469,11.225697059126245,2.384286477261017,5.069562545898783,2.918523013772707,2.6018875102161614,6.400771534974327,5.460762480131015,2.8886346353419956,4.590976214147675,1.7775482702608585,1.2479545864003228,,2.3378878571839925,0.56993120806009,2.7240763738183356,2.6135970569832043,1.4648794709486561,1.010581459856498,3.419029757762238
2015-10-02,6.606498435776811,6.017856198044473,3.8511071267487353,5.6495870455556965,12.029885876808583,3.4049589086346157,2.028597947541211,2.74035988295982,0.12923009195486998,6.275970717452663,1.0990538303622437,18.095406277881267,2.9301347031375795,2.4245671231094685,6.061168733208656,2.4688727957016967,2.8478109890542473,4.3756070248776044,3.401584061035965,17.110420689106157,3.5626658589599574,1.9158910540720138,18.56725963841245,16.792552472184312,2.3774429303362186,4.3382592352337515,30.838684549077332,29.266943484141677,1.231206690712192,24.79634580787496,1.5198173396045271,1.6087799005336947,1.491212101303298,2.3209140696381696,2.9465943714448333,4.3721784767742475,1.397932856465739,8.03039434306238,4.916078486315645,1.6421419111931952,11.36717461131246,2.4111847370448887,5.077769904533871,2.8978796602729653,2.642266890765115,6.34608112536527,5.504971363914073,2.882206561129364,4.432399345140499,1.775148788225654,1.233544122313832,,2.357842880865359,0.5560283647196522,2.7405652175900084,2.5106997921551217,1.5140305301834955,1.0125338245030395,3.487682720037784
2015-10-05,6.580583886995582,5.905808715317847,3.8873134231391093,5.702206954552105,11.665971447001699,3.4167827526095027,2.04667337914578,2.803273328794781,0.12836155130374835,6.446439587987884,1.1072030598852367,18.077837456133917,2.9274064947169216,2.4293117006640172,6.086586029255009,2.4505310158998146,2.728305547073437,4.308997717298498,3.410131179444142,17.201206726654597,3.52918691921163,1.9313431408435273,18.900852134557947,16.23271553946845,2.3713912577166925,4.314341790441077,28.11657532528784,26.62489549063045,1.2001272413708732,23.344624962954665,1.5316549153320687,1.6134137580924124,1.5109990241053792,2.320877512790986,2.9570441561198915,4.368126801205757,1.4499704263494981,8.010024966986993,5.010756708982174,1.637869042384056,11.496173640023912,2.415161830326636,5.047633273789485,2.8512457134810565,2.6536839546323328,6.2284814646856015,5.489856182447283,2.873028771529116,4.28713348979498,1.77245942954375,1.2049700983232716,,2.354073875977413,0.549909982361199,2.7443149042675596,2.4770247096929556,1.5820919070205492,1.0026180418549964,3.540980723537439
2015-10-06,6.488078112882942,5.743494917736051,3.9582319677773365,5.779584554889622,11.312888928295628,3.4244614406050458,2.0692983386662327,2.847011690346867,0.12735052720604845,6.700516136624888,1.1100639264943157,17.982961518386073,2.9257497759399236,2.430417618900081,6.1149074210782945,2.449084292150123,2.666083582085577,4.200762911608804,3.4170687540722153,17.24001778152635,3.504767451202098,1.955462030163755,19.307158336290545,15.552499334993119,2.363405662954126,4.267635510807818,25.925015053196418,24.617704172582823,1.1575885098740106,22.175356658638936,1.5326954949453775,1.6496280953920976,1.516242558819364,2.309858654907278,2.9653853276164304,4.362121817580526,1.4831682666995796,7.964386911122545,5.143217625414324,1.6162354250394984,11.6811882231682,2.4147308280119866,4.995594624238199,2.793708078971121,2.6727722969628522,6.25010060709986,5.483648636891427,2.874443773262911,4.127950696066051,1.769860954032885,1.148422019813844,,2.3442242702818628,0.5562246375858916,2.739624799045987,2.482749956123828,1.6168003817961885,0.9876052614999641,3.5712123578419015
2015-10-07,6.392912998795631,5.5657187062874,3.9948647827890666,5.82840952566565,10.967716770512952,3.4454510909803484,2.0912996577426743,2.8476058880725197,0.1242444680986031,6.858040931907892,1.1084446654078903,17.809312465118605,2.921888871307612,2.408325015136272,6.128780175587535,2.454200475053205,2.621239647215643,4.089453971535905,3.4141402703039136,17.041650502941522,3.4470692169494748,1.9617526753701033,19.751228161054982,14.824429825831631,2.3553069299909293,4.20788391066701,24.11627898692348,23.09061474115147,1.1208932575921327,21.387466821339256,1.5288533700517226,1.6593169924265654,1.5160818143479464,2.2925536239408686,2.9652292143753707,4.357211863794128,1.507319570673581,7.897813748478333,5.252585941019553,1.6049630916079642,11.73486606939616,2.4104789769473474,4.924294010025723,2.7097366603346575,2.6806526473638583,6.161406204141183,5.456296896174996,2.8744456601417165,3.9090570625975416,1.767728688886999,1.101346235783069,,2.3216001872369265,0.562611847009472,2.7255060743982304,2.49559168397145,1.652309212727238,0.9662246846582719,3.5670041662089313
2015-10-08,6.269046738193169,5.422299976384714,4.026908485321279,5.858932385730784,10.580569734374127,3.519451453148931,2.096516312771633,2.848312985682359,0.12378046335081352,6.927801389358001,1.099987814519061,17.607385355804528,2.9158444813720963,2.3859623364978946,6.129219623417585,2.461068454523983,2.5804529230612188,4.0179113667940065,3.408517492572876,16.851394358810744,3.377832232841103,1.9679667660024442,19.973629581126783,14.271193204501696,2.3449722391235053,4.1267479569953815,22.03457110316764,21.292495839327618,1.0855286405152038,20.149682648802358,1.5449803538508748,1.6657580348021983,1.5243882814979626,2.2812258759657014,2.9472729662949404,4.3543551125657265,1.5813042960910924,7.816628318964633,5.321697947041681,1.6205818164254706,11.759498788273715,2.4028142868676285,4.884818994616849,2.609391426332825,2.6822594141826417,6.117668438109754,5.417029986076903,2.908556104980511,3.728901062725166,1.7668480266147868,1.0592133980454361,,2.3012987244616987,0.5779125693848827,2.7059984163665454,2.5828662909326674,1.7131430789748927,0.9523859422791195,3.552693633721491
2015-10-09,6.038492653889229,5.236404629736998,4.033597078970605,5.884355671326022,10.206896665883395,3.576243219493107,2.107499998324532,2.8623318049418893,0.12479505798377034,7.060070549094191,1.0863375987836834,17.28863642579368,2.9050251416203636,2.3550698467457183,6.138492083280225,2.46487198416166,2.5599294382488655,3.9417054297493244,3.3887378114575943,16.671456606891933,3.274678036530891,1.974137435899267,20.233468338095076,13.606887225656747,2.3187780729109133,4.04495115304364,20.691537648377476,20.306731228636423,1.1177404062748513,19.503887548166258,1.5685557429189219,1.675376498709764,1.528135555779038,2.2644669868345657,2.92387134050373,4.325345285194904,1.6557628432901605,7.689182870783004,5.360588286714493,1.6348338345736337,11.764891622407925,2.3961835474813675,4.854506587598746,2.505110009199625,2.667517540806083,6.0404063427315045,5.3594406145198406,2.9270399038739185,3.5625229546291397,1.7649000467848788,1.0373660283796882,,2.273064452594717,0.5722877817013702,2.6777902391657684,2.6295849331984074,1.7662451794409328,0.92681240978846,3.540640493742999
2015-10-12,5.743542664996364,5.061905279289664,4.039254783872826,5.8970665191325,9.951053311366023,3.6439170114643575,2.1262415050631374,2.879851941227153,0.12475430656152589,7.234551270838466,1.0744737248117149,16.99494200594147,2.900538738191838,2.3320579585494765,6.139349905314392,2.4651354462506796,2.5279135173917684,3.8976226855443703,3.3775462460294965,16.477811462485572,3.169450200945131,1.9861054358365795,20.51253010753244,12.86693843277248,2.3083300638374573,3.966555038072346,20.176834031269845,19.665708761742668,1.1771755433610027,19.275991642073837,1.6021600796748796,1.7145737145420383,1.5475933110792144,2.2417281658336425,2.893725820511276,4.307480564501586,1.7390422960194503,7.570744979724679,5.312495014288082,1.6493263391098256,11.738985089529752,2.394723926388149,4.8272973688188845,2.406799806949993,2.6613250756327664,5.869992021092016,5.303336866624992,2.9405110196184188,3.449852105239042,1.7658161714664564,1.0169469373799296,,2.240030335498786,0.56410681362227,2.643664310895062,2.650380736959802,1.823359257812589,0.9034418024397141,3.532788461678992
2015-10-13,5.286821188279113,4.846572077660479,4.0492587729323315,5.927793224643076,9.681896123300014,3.674954859632651,2.1579314417619204,2.893248379666124,0.12515445260016597,7.354266827153242,1.0652067383753507,16.747296679567405,2.895312103235389,2.3078355599460427,6.133683965044799,2.4660710992724093,2.533611627964224,3.8555517935528263,3.380429952930073,16.38096068249224,3.019562372414897,1.9999477041184754,21.05396693299899,11.999610515100619,2.3007172733196564,3.8806355812063726,19.95620200030109,19.415089893301012,1.2432213828517964,19.112384679458053,1.6250985541604308,1.7404546697994567,1.5678331154705378,2.214906988137884,2.8605465678199575,4.285384503050177,1.8233347793299182,7.445972133774949,5.172133773246889,1.647202524947116,11.744085867069677,2.395169450146547,4.8133769697695,2.3207135567384105,2.654099754808443,5.734623941586125,5.248487551849649,2.937926956590321,3.3901903809681087,1.758216706979145,1.0001403997485208,,2.2042828048178893,0.5615278542275312,2.612748277067984,2.658340355621871,1.8572473024271452,0.8820344196878958,3.535720803896684
2015-10-14,4.8601267420874334,4.663273007367933,4.062845444678469,5.947245222324648,9.474573661830133,3.6908961293006857,2.183960146363482,2.90930022455747,0.12591055362487202,7.332054413389108,1.058438194902946,16.47548647378965,2.887922420002811,2.2982553196118896,6.112261666814722,2.480301575203059,2.5703033026855415,3.8436735165327156,3.3777670347794984,16.23931758049663,2.888231229103423,2.0163949763289666,21.351435503282755,11.231019644710623,2.299994712595254,3.7925757499632993,19.609415335553606,19.158548925242,1.2979233631064095,18.80180094977053,1.6282871229614628,1.7752483633035834,1.5944559315058144,2.194353687841814,2.8322109059565257,4.264526318070235,1.865459880290031,7.32974456164654,5.063010883756724,1.6435809396208056,11.747381961009498,2.3952972994061574,4.795325536983885,2.2838430974533646,2.6587988664863387,5.63085886967254,5.200821414914218,2.9379698205847595,3.3620982275247515,1.7430891063764882,0.9754495704068314,,2.1789594520746167,0.5574350814726556,2.5824580930306618,2.648482408436338,1.8718151180493805,0.8680339985270787,3.52692722790029
