Date,MMM,ABT,ABBV
2013-04-19,94.624144305568,33.690191636555,36.207053620266
2013-04-22,94.704705964707,33.409440039584,37.753049540358
2013-04-23,96.127961942815,33.699248139683,38.555942449134
2013-04-24,96.557624124886,33.074349423844,37.855546507435
2013-04-25,93.881186782405,33.04717991446,37.78721519605
2013-04-26,92.905495577286,33.020010405075,39.153841423755
2013-04-29,92.941300759126,33.264535989534,38.632815174443
2013-04-30,93.729014759588,33.436609548968,39.333211116142
2013-05-01,93.585794032231,33.409440039584,38.906140419984
2013-05-02,94.919537055742,33.563400592762,37.573679847971
2013-05-03,96.521818943047,33.327931511431,38.163037408669
2013-05-06,96.530770238506,32.467563714261,38.086164683361
2013-05-07,96.682942261323,32.657750279951,38.359489928902
2013-05-08,96.853016875059,32.866049851897,37.146609151813
2013-05-09,98.392639694145,32.766428317488,37.78721519605
2013-05-10,98.893912239894,32.75737181436,38.444904068133
2013-05-13,98.911814830814,32.920388870666,38.043457613745
2013-05-14,98.992376489952,33.554344089633,38.735312141521
2013-05-15,99.806944376794,34.106790780448,39.316128288295
2013-05-16,99.422038672022,33.355101020815,39.469873738912
2013-05-17,99.708480126736,33.137744945741,40.289849475535
2013-05-20,100.00387287691,34.24263832737,39.512580808528
2013-05-21,100.26346044524,34.161129799217,39.751740398376
2013-05-22,99.739809660845,34.161129799217,39.939651504686
2013-05-23,99.397710846231,33.943773724142,39.794447467992
2013-05-24,99.271674440847,34.197355811729,38.812184866829
2013-05-28,100.46001769161,34.921876061977,38.769477797213
2013-05-29,100.04589807392,34.161129799217,37.479724294816
2013-05-30,100.30697348507,34.124903786704,38.051999027668
2013-05-31,99.271674440847,33.210196970765,36.463296037961
2013-06-03,99.577762853923,33.653965624043,37.035570770812
2013-06-04,99.046609431232,33.327931511431,37.266188946738
2013-06-05,97.759237576236,32.875106355025,36.762245525271
2013-06-06,97.831258379313,33.183027461381,37.155150565736
2013-06-07,100.02789287315,33.970943233526,37.582221261894
2013-06-10,99.757814861615,33.95283022727,37.513889950509
2013-06-11,99.226661438924,33.355101020815,37.232023291045
2013-06-12,98.155351993158,33.001897398819,36.531627349346
2013-06-13,100.10891627661,33.23736648015,36.856201078426
2013-06-14,99.955872070076,33.336988014559,36.907449561965
2013-06-17,100.74810090392,33.409440039584,36.736621283502
2013-06-18,101.70237654469,33.970943233526,37.189316221429
2013-06-19,100.44201249084,32.793597826873,36.762245525271
2013-06-20,97.930286983543,31.851721501549,35.071045568486
2013-06-21,98.659497614695,32.223038129802,36.403506140499
2013-06-24,96.777954134316,31.670591438987,35.779982924108
2013-06-25,97.444146562776,31.797382482781,36.412047554422
2013-06-26,98.740521018156,32.241151136058,37.052653598659
2013-06-27,99.244666639693,32.023795060984,36.83911825058
2013-06-28,98.443435205465,31.589082910834,35.310205158334
2013-07-01,98.407424803926,31.724930457756,35.54082333426
2013-07-02,97.88527398162,31.570969904578,36.053308169649
2013-07-03,98.533461209311,31.018523213764,36.070390997495
2013-07-05,100.41500468969,31.625308923347,36.48892027973
2013-07-08,100.94615811238,32.069077576624,37.308896016353
2013-07-09,102.0444753593,31.462291867041,37.00140511512
2013-07-10,102.11649616238,31.462291867041,37.505348536586
2013-07-11,103.10678220468,32.159642607905,37.735966712511
2013-07-12,103.65594082814,32.114180856975,38.830637286401
2013-07-15,103.39486541699,32.259658459951,38.460000792879
2013-07-16,102.93573279737,32.459690164043,37.761825072524
2013-07-17,103.20581080891,32.568798366275,37.89111687259
2013-07-18,103.96202924122,32.459690164043,38.201417192748
2013-07-19,104.60121386852,32.614260117205,38.373806259502
2013-07-22,104.68223727198,32.550613665903,38.761681659699
2013-07-23,105.10535949006,33.350740482272,38.19279773941
2013-07-24,104.72725027391,33.141616427994,37.615294365783
2013-07-25,104.92530748237,33.259816980412,38.132461566046
2013-07-26,105.24940109621,33.441663984132,38.60653149962
2013-07-29,104.97932308468,33.405294583388,38.839256739739
2013-07-30,105.18638289352,33.532587485992,38.528956419581
2013-07-31,105.71753631621,33.305278731342,39.201273779923
2013-08-01,106.5997911539,33.496218085248,39.003026353155
2013-08-02,106.46475214813,33.414386933574,39.063362526519
2013-08-05,106.15866373506,33.141616427994,38.537575872919
2013-08-06,105.7805545189,32.823384171484,38.68410657966
2013-08-07,106.0776403316,32.668814218321,38.416903526191
2013-08-08,106.84286136428,32.659721868135,38.839256739739
2013-08-09,106.50976515006,32.632444817577,38.537575872919
2013-08-12,106.57278335275,32.641537167763,38.822017833063
2013-08-13,106.8338587639,32.677906568507,38.727203846348
2013-08-14,105.88858572352,32.377859012369,38.425522979528
2013-08-15,104.29512545545,31.850502701581,37.244657872262
2013-08-16,104.34013845737,31.795948600465,37.06364935217
2013-08-19,104.07906304622,31.714117448791,37.382569125665
2013-08-20,103.90801363891,31.559547495629,37.037790992156
2013-08-21,102.67915868641,31.495901044327,36.468907071867
